epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,18934.2,1.10469,0.75515,1.19066,0.9535,0.89543,0.95208,0.65223,1.17835,0.55777,1.21609,0.004753,0.004753,0.004753
161,19051.1,1.12135,0.76783,1.19346,0.95538,0.89484,0.95179,0.65214,1.17819,0.55737,1.21582,0.00472,0.00472,0.00472
162,19168.5,1.1129,0.76833,1.18964,0.95628,0.89457,0.95191,0.6523,1.17744,0.55687,1.21515,0.004687,0.004687,0.004687
163,19285.9,1.10642,0.7461,1.18018,0.95473,0.89468,0.95189,0.65206,1.17747,0.5565,1.21498,0.004654,0.004654,0.004654
164,19403.4,1.12,0.76873,1.19117,0.95288,0.89563,0.95235,0.65223,1.17704,0.55584,1.21455,0.004621,0.004621,0.004621
165,19521.6,1.11381,0.75553,1.18282,0.95331,0.89457,0.95267,0.65215,1.17666,0.55511,1.21413,0.004588,0.004588,0.004588
166,19638.5,1.10902,0.75898,1.19092,0.95535,0.89438,0.95279,0.6524,1.17629,0.55482,1.21359,0.004555,0.004555,0.004555
167,19755.2,1.09737,0.75307,1.18303,0.95079,0.90081,0.95246,0.65253,1.17568,0.55483,1.21307,0.004522,0.004522,0.004522
168,19872.4,1.10296,0.74638,1.18172,0.95096,0.90206,0.95324,0.65239,1.17539,0.55449,1.21281,0.004489,0.004489,0.004489
169,19988.9,1.09997,0.74782,1.18128,0.95259,0.90249,0.95349,0.65246,1.17473,0.55395,1.21235,0.004456,0.004456,0.004456
170,20105.9,1.10304,0.74954,1.17928,0.9532,0.90217,0.95342,0.65207,1.17464,0.55325,1.212,0.004423,0.004423,0.004423
171,20223,1.09148,0.73923,1.17712,0.95395,0.90268,0.95406,0.65244,1.17474,0.55271,1.2121,0.00439,0.00439,0.00439
172,20340.1,1.09458,0.74361,1.17871,0.95273,0.90268,0.95441,0.6536,1.17421,0.55207,1.21173,0.004357,0.004357,0.004357
173,20457.3,1.08391,0.73744,1.17438,0.95325,0.90316,0.95424,0.65378,1.17361,0.55183,1.21108,0.004324,0.004324,0.004324
174,20574.9,1.09525,0.74797,1.17619,0.9545,0.90292,0.95417,0.65394,1.17317,0.55192,1.21078,0.004291,0.004291,0.004291
175,20692.4,1.09715,0.74189,1.17782,0.95335,0.90331,0.9539,0.65506,1.17266,0.55128,1.21033,0.004258,0.004258,0.004258
176,20810.5,1.08304,0.73137,1.16801,0.95136,0.90455,0.9539,0.65503,1.17201,0.55038,1.20995,0.004225,0.004225,0.004225
177,20928.8,1.0791,0.72834,1.1677,0.95046,0.90455,0.95398,0.65553,1.17167,0.54968,1.20954,0.004192,0.004192,0.004192
178,21046.1,1.08424,0.73621,1.16871,0.94898,0.90513,0.95436,0.65554,1.17193,0.54895,1.20943,0.004159,0.004159,0.004159
179,21163.5,1.07585,0.73538,1.16698,0.949,0.90541,0.95455,0.65548,1.17152,0.54829,1.20888,0.004126,0.004126,0.004126
180,21281.2,1.07637,0.72662,1.16166,0.95095,0.90455,0.95378,0.65523,1.17121,0.54765,1.20854,0.004093,0.004093,0.004093
181,21397.6,1.08074,0.72387,1.1674,0.95209,0.9058,0.95384,0.65528,1.17043,0.54694,1.20823,0.00406,0.00406,0.00406
182,21514,1.08599,0.72681,1.1697,0.95204,0.9058,0.95401,0.65565,1.1701,0.54635,1.20798,0.004027,0.004027,0.004027
183,21630.8,1.07085,0.72003,1.16242,0.95145,0.90518,0.95425,0.65598,1.1697,0.54525,1.20747,0.003994,0.003994,0.003994
184,21747.2,1.06555,0.7221,1.1575,0.95272,0.90206,0.95431,0.65729,1.16932,0.54429,1.20692,0.003961,0.003961,0.003961
185,21864.1,1.0682,0.73318,1.16376,0.95085,0.90268,0.95417,0.65797,1.16887,0.54389,1.20647,0.003928,0.003928,0.003928
